ORF,Batch,Gene,GO_process,GO_function,GO_component,deletion_phenotype,result_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,significant_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,rank_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,result_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,significant_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,rank_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,result_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,result_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20
YBR009C,chr2_2,HHF1,chromatin assembly or disassembly,DNA binding,nuclear nucleosome,viable,0.079393,0,2403,-0.203529,0,3597,0.239855,0,957,0.885614,0,356
YJR126C,chr00_12,VPS70,protein-vacuolar targeting,molecular_function unknown,cellular_component unknown,viable,0.079313,0,2404,-0.102541,0,3234,-0.559233,0,4277,-0.709143,0,4551
YPL033C,chr16_3,YPL033C,meiosis*,molecular_function unknown,cellular_component unknown,viable,0.078994,0,2405,0.099947,0,2029,-0.104953,0,2338,-0.290402,0,3002
YOR215C,chr15_3,YOR215C,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.078964,0,2406,0.201752,0,1458,-0.886036,0,4688,-0.488716,0,3814
YML020W,chr13_2,YML020W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.078904,0,2407,-0.061337,0,3026,-0.075678,0,2240,-0.575131,0,4163
YNL173C,chr14_2,MDG1,signal transduction during conjugation with cellular fusion,molecular_function unknown,plasma membrane,viable,0.078517,0,2408,0.253207,0,1191,-0.047271,0,2158,0.445588,0,708
YLR190W,chr12_3,MMR1,biological_process unknown,molecular_function unknown,bud neck*,viable,0.078358,0,2409,-0.048958,0,2970,-0.262503,0,2947,0.764579,0,429
YOL056W,chr15_5,GPM3,gluconeogenesis*,NOT phosphoglycerate mutase activity,cytosol,viable,0.078353,0,2410,0.085882,0,2106,-0.427752,0,3708,-0.698831,0,4528
YDR206W,chr4_5,EBS1,telomerase-dependent telomere maintenance,molecular_function unknown,nucleus,viable,0.078223,0,2411,-0.276907,0,3798,-0.476091,0,3927,-0.620447,0,4326
YFR045W,chr00_2,YFR045W,transport,transporter activity,mitochondrial inner membrane,viable,0.07769,0,2412,-0.08987,0,3178,-0.397048,0,3567,-0.445379,0,3634
YGR015C,chr7_3,YGR015C,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.077593,0,2413,0.281755,0,1071,0.379533,0,751,0.183703,0,1089
YOL141W,chr00_10,PPM2,biological_process unknown,C-terminal protein carboxyl methyltransferase activity,cytoplasm*,viable,0.077502,0,2414,0.051556,0,2331,-0.162286,0,2527,-0.378588,0,3367
YMR078C,chr00_6,CTF18,mitotic sister chromatid cohesion,molecular_function unknown,DNA replication factor C complex,viable,0.077306,0,2415,0.485104,0,501,0.257704,0,927,0.287069,0,907
YJR025C,chr00_13,BNA1,NAD biosynthesis,"3-hydroxyanthranilate 3,4-dioxygenase activity",cytoplasm,viable,0.076637,0,2416,0.062137,0,2269,-0.176017,0,2580,-0.249412,0,2843
YLR013W,chr12_1,GAT3,transcription,transcription factor activity,nucleus,viable,0.076552,0,2417,0.143503,0,1779,-0.34404,0,3301,-0.385746,0,3399
YMR223W,chr13_4,UBP8,protein deubiquitination,ubiquitin-specific protease activity,SAGA complex,viable,0.076052,0,2418,0.386603,0,724,1.04338,0,271,0.759321,0,437
YGR050C,chr00_14,YGR050C,NA,NA,NA,viable,0.075821,0,2419,-0.086424,0,3163,0.611364,0,511,0.074259,0,1297
YBL096C,chr2_2,YBL096C,NA,NA,NA,viable,0.075544,0,2420,-0.185503,0,3532,0.509927,0,598,0.845376,0,384
YAR050W,chr00_12,FLO1,flocculation (sensu Saccharomyces),mannose binding,cell wall (sensu Fungi),viable,0.075492,0,2421,-0.275517,0,3795,-0.318564,0,3186,-0.234555,0,2780
YDR541C,chr00_2,YDR541C,biological_process unknown,dihydrokaempferol 4-reductase activity,cellular_component unknown,viable,0.075484,0,2422,0.005233,0,2597,-0.542277,0,4216,-0.585886,0,4205
YOL117W,chr00_6,RRI2,adaptation to pheromone during conjugation with cellular fusion*,molecular_function unknown,signalosome complex,viable,0.075347,0,2423,0.065741,0,2244,-0.045166,0,2149,0.434688,0,718
YGL259W,chr7_3,YPS5,biological_process unknown,aspartic-type endopeptidase activity,cellular_component unknown,viable,0.075314999999999993,0,2424,0.291202,0,1033,-0.027485,0,2104,-0.261601,0,2884
YGR228W,chr00_2,YGR228W,NA,NA,NA,viable,0.075227,0,2425,0.13082,0,1861,0.232639,0,970,0.829151,0,395
YAL065C,chr1_1,YAL065C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.075196,0,2426,0.136283,0,1825,0.446097,0,677,-0.089205,0,2282
YLR286C,chr00_12,CTS1,"cytokinesis, completion of separation",chitinase activity,endoplasmic reticulum*,viable,0.074428,0,2427,0.23532,0,1274,-0.541734,0,4213,-0.759602,0,4608
YDL025C,chr4_1,YDL025C,biological_process unknown,protein kinase activity,cellular_component unknown,viable,0.074356,0,2428,-0.555808,0,4283,-0.167324,0,2544,-0.508149,0,3891
YDL243C,chr4_3,AAD4,aldehyde metabolism,aryl-alcohol dehydrogenase activity,cellular_component unknown,viable,0.074255,0,2429,0.079277,0,2144,0.375187,0,755,-0.624882,0,4340
YML106W,chr00_9,URA5,pyrimidine base biosynthesis,orotate phosphoribosyltransferase activity,cytoplasm*,viable,0.074186,0,2430,-0.173177,0,3485,0.361249,0,777,-0.07753,0,2243
YMR304C-A,chr13_5,YMR304C-A,NA,NA,NA,viable,0.073807,0,2431,-0.119579,0,3310,0.316531,0,840,-0.290395,0,3001
YGR143W,chr7_5,SKN1,cell wall organization and biogenesis*,glucosidase activity,integral to membrane,viable,0.073782,0,2432,0.229412,0,1310,-0.135715,0,2433,-0.149212,0,2486
YFR008W,chr6_1,FAR7,cell cycle arrest in response to pheromone,molecular_function unknown,cellular_component unknown,viable,0.07368,0,2433,0.024311,0,2487,-0.352327,0,3349,0.108817,0,1229
YPL070W,chr16_3,MUK1,regulation of transcription,molecular_function unknown,cytoplasm,viable,0.073096,0,2434,-0.256212,0,3744,-0.46481,0,3863,-0.212479,0,2700
YMR016C,chr13_2,SOK2,pseudohyphal growth,transcription factor activity,nucleus,viable,0.073055,0,2435,0.67219,0,280,-0.833943,0,4672,-1.11769,0,4734
YPL074W,chr16_3,YTA6,biological_process unknown,ATPase activity,cell cortex,viable,0.072779,0,2436,-0.058055,0,3011,-0.355996,0,3369,-0.455321,0,3678
YEL036C,chr5_2,ANP1,N-linked glycosylation,mannosyltransferase activity,mannosyltransferase complex*,viable,0.072145,0,2437,0.237518,0,1263,0,0,1626,0,0,1626
YPL222W,chr16_1,FMP40,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.072003,0,2438,-0.107726,0,3261,-0.249764,0,2895,-0.220893,0,2723
YOR175C,chr15_2,YOR175C,biological_process unknown,molecular_function unknown,endoplasmic reticulum,viable,0.071644,0,2439,0.116208,0,1940,-0.172198,0,2561,-0.320517,0,3125
YPL066W,chr16_3,YPL066W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.071519,0,2440,0.126555,0,1880,-0.51447,0,4104,-0.489349,0,3816
YJR148W,chr00_12,BAT2,branched chain family amino acid biosynthesis*,branched-chain-amino-acid transaminase activity,cytoplasm*,viable,0.071447,0,2441,-0.227243,0,3665,-0.244676,0,2865,-0.380024,0,3374
YBR246W,chr2_4,YBR246W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.07126,0,2442,0.148366,0,1756,0.41157,0,720,0.198218,0,1064
YLR410W,chr12_5,VIP1,actin cytoskeleton organization and biogenesis,molecular_function unknown,cytoplasm,viable,0.070995,0,2443,0.139908,0,1803,-0.218581,0,2758,-0.503939,0,3880
YPL036W,chr00_17b,PMA2,regulation of pH*,"hydrogen-exporting ATPase activity, phosphorylative mechanism",plasma membrane,viable,0.070852,0,2444,-0.077147,0,3108,-0.330183,0,3242,-0.439459,0,3605
YFR036W,chr00_2,CDC26,ubiquitin-dependent protein catabolism*,protein binding*,anaphase-promoting complex,viable,0.070687,0,2445,-0.185249,0,3528,0,0,1652,0,0,1652
YLR361C,chr00_11,DCR2,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.070582,0,2446,0.032403,0,2460,-0.518775,0,4121,-0.74985,0,4596
YGL216W,chr7_3,KIP3,mitotic spindle assembly (sensu Fungi)*,microtubule motor activity,cytoplasmic microtubule*,viable,0.070509,0,2447,-0.112088,0,3279,0.790513,0,389,-0.29368,0,3014
YEL061C,chr5_2,CIN8,mitotic sister chromatid segregation*,microtubule motor activity,spindle microtubule*,viable,0.070341,0,2448,0.333014,0,872,0,0,1630,0,0,1630
YPL072W,chr16_3,UBP16,protein deubiquitination,ubiquitin-specific protease activity,cytoplasm,viable,0.069843,0,2449,1.06e-4,0,2613,0.021211,0,1411,-0.277822,0,2958
YGR266W,chr00_3,YGR266W,biological_process unknown,molecular_function unknown,plasma membrane,viable,0.06968,0,2450,0.323614,0,907,-0.487347,0,3987,-0.73093,0,4581
YDR219C,chr4_5,YDR219C,ubiquitin-dependent protein catabolism,protein binding,ubiquitin ligase complex,viable,0.069624,0,2451,0.197188,0,1480,0.436948,0,685,-1.00542,0,4723
YKL094W,chr11_1,YJU3,biological_process unknown,serine hydrolase activity,cytoplasm*,viable,0.069543,0,2452,-0.163899,0,3463,-0.124015,0,2391,-0.173871,0,2570
YOR285W,chr15_3,YOR285W,biological_process unknown,molecular_function unknown,endoplasmic reticulum,viable,0.069459,0,2453,-0.001079,0,2681,-0.465625,0,3869,-0.088225,0,2278
YMR176W,chr13_4,ECM5,cell wall organization and biogenesis,molecular_function unknown,nucleus,viable,0.069189,0,2454,0.161067,0,1677,-0.238363,0,2836,-0.321391,0,3128
YLL063C,chr12_1,AYT1,secondary metabolism,trichothecene 3-O-acetyltransferase activity,cellular_component unknown,viable,0.069151,0,2455,0.389978,0,711,-0.365118,0,3419,-0.590599,0,4220
YLR400W,chr12_5,YLR400W,NA,NA,NA,viable,0.068844,0,2456,0.068622,0,2227,-0.743761,0,4604,-0.571881,0,4153
YFL056C,chr6_1,AAD6,aldehyde metabolism,aryl-alcohol dehydrogenase activity,cellular_component unknown,viable,0.068787,0,2457,0.519115,0,447,1.20543,0,218,0.377728,0,786
YLR307W,chr12_4,CDA1,spore wall assembly (sensu Fungi),chitin deacetylase activity,chitosan layer of spore wall,viable,0.068777,0,2458,0.333591,0,871,-0.137764,0,2440,0.148437,0,1151
YGR072W,chr7_4,UPF3,mRNA catabolism*,molecular_function unknown,cytoplasm*,viable,0.068577,0,2459,-0.221192,0,3646,-0.940472,0,4707,-0.447456,0,3644
YHR045W,chr00_8,YHR045W,biological_process unknown,molecular_function unknown,endoplasmic reticulum,viable,0.068514,0,2460,-0.010947,0,2751,-0.183386,0,2609,-0.330986,0,3155
YBL017C,chr2_1,PEP1,protein-vacuolar targeting*,signal sequence binding,Golgi apparatus,viable,0.068443,0,2461,0.133561,0,1838,-0.221911,0,2774,-0.162672,0,2529
YNL142W,chr00_17b,MEP2,pseudohyphal growth*,ammonium transporter activity,plasma membrane,viable,0.068327,0,2462,0.08316,0,2118,-0.13798,0,2441,-0.104088,0,2333
YHR103W,chr8_2,SBE22,cell wall organization and biogenesis,molecular_function unknown,cytoplasm,viable,0.068263,0,2463,0.2185,0,1379,0.325157,0,829,0.141692,0,1165
YBR086C,chr2_3,IST2,response to osmotic stress,molecular_function unknown,plasma membrane*,viable,0.068259,0,2464,0.275759,0,1090,0,0,1495,0,0,1495
YLR194C,chr12_3,YLR194C,biological_process unknown,molecular_function unknown,cell wall (sensu Fungi),viable,0.068232,0,2465,0.140005,0,1802,-0.064442,0,2209,0.507995,0,650
YML088W,chr13_1b,UFO1,ubiquitin-dependent protein catabolism*,protein binding*,cytoplasm*,viable,0.067951,0,2466,0.211199,0,1407,-0.677846,0,4541,-0.460665,0,3701
YMR189W,chr13_4,GCV2,one-carbon compound metabolism,glycine dehydrogenase (decarboxylating) activity,mitochondrion,viable,0.067253,0,2467,0.191969,0,1515,-0.224242,0,2783,-0.494315,0,3835
YGR010W,chr7_3,NMA2,NAD metabolism,nicotinate-nucleotide adenylyltransferase activity,nucleus,viable,0.066809,0,2468,0.008637,0,2576,-0.470207,0,3900,-0.796931,0,4637
YKL127W,chr11_2,PGM1,glucose 1-phosphate utilization*,phosphoglucomutase activity,cytosol,viable,0.066766,0,2469,0.100238,0,2026,-0.342169,0,3291,-0.059019,0,2190
YGR212W,chr7_5,SLI1,sphingolipid biosynthesis,N-acetyltransferase activity,cellular_component unknown,viable,0.066662,0,2470,0.242148,0,1241,0.433517,0,694,-0.421809,0,3534
YFL003C,chr00_17a,MSH4,meiotic recombination,DNA binding,nuclear chromosome,NA,0.066428,0,2471,0.13049,0,1862,0.128978,0,1169,-0.050206,0,2169
YKL100C,chr11_2,YKL100C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.066346,0,2472,0.280294,0,1077,-0.236809,0,2826,-0.525245,0,3966
YKL121W,chr11_2,YKL121W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.06634,0,2473,0.156737,0,1702,0.340597,0,801,1.12567,0,241
YLR144C,chr12_3,ACF2,actin cytoskeleton organization and biogenesis,"glucan 1,3-beta-glucosidase activity",intracellular,viable,0.066219,0,2474,0.056222,0,2301,0.71632,0,442,-0.410298,0,3494
YEL060C,chr5_2,PRB1,sporulation*,serine-type endopeptidase activity,vacuole (sensu Fungi),viable,0.065609,0,2475,0.133485,0,1839,-0.62546,0,4462,-0.451849,0,3662
YEL011W,chr00_8,GLC3,glycogen metabolism,"1,4-alpha-glucan branching enzyme activity",cytoplasm,viable,0.065591,0,2476,0.186815,0,1544,-0.316121,0,3174,-0.331069,0,3156
YFL047W,chr6_1,RGD2,small GTPase mediated signal transduction,Rho GTPase activator activity,cytoplasm*,viable,0.064835,0,2477,0.203005,0,1454,-0.499562,0,4049,-0.227037,0,2751
YPL057C,chr16_3,SUR1,sphingolipid biosynthesis*,mannosyltransferase activity*,intracellular,viable,0.064523,0,2478,0.274516,0,1094,0.642187,0,493,0.69443,0,482
YDL123W,chr4_2,SNA4,biological_process unknown,molecular_function unknown,vacuolar membrane (sensu Fungi),viable,0.064293,0,2479,-0.05356,0,2989,-0.182823,0,2608,0.032436,0,1407
YLR401C,chr12_5,DUS3,tRNA modification,tRNA dihydrouridine synthase activity,cytoplasm*,viable,0.064177,0,2480,-0.230577,0,3672,-0.502565,0,4060,-0.491387,0,3826
YEL016C,chr5_2,YEL016C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.063887,0,2481,0.060768,0,2278,-0.052008,0,2173,-0.528919,0,3985
YHR182W,chr8_3,YHR182W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.063797,0,2482,-0.353145,0,3958,-0.041731,0,2142,1.14744,0,231
YCL008C,chr3_1,STP22,protein-vacuolar targeting*,protein binding,endosome*,viable,0.063778,0,2483,-0.026399,0,2854,0.325805,0,828,0.554713,0,606
YKL067W,chr11_1,YNK1,purine nucleotide biosynthesis*,nucleoside-diphosphate kinase activity,cytosol*,viable,0.063664,0,2484,-0.051761,0,2980,-0.418989,0,3666,-0.520587,0,3942
YKR010C,chr00_14,TOF2,DNA topological change,molecular_function unknown,cell,viable,0.063498,0,2485,0.40437,0,660,-0.163492,0,2531,-0.648175,0,4401
YJR108W,chr10_4,ABM1,microtubule cytoskeleton organization and biogenesis,molecular_function unknown,cellular_component unknown,viable,0.062961,0,2486,-0.207897,0,3612,-0.21957,0,2764,-0.284985,0,2983
YGR020C,chr7_3,VMA7,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism",vacuolar membrane (sensu Fungi)*,viable,0.062875,0,2487,1.07199,0,118,0,0,1679,0,0,1679
YKR052C,chr11_3,MRS4,transport*,iron ion transporter activity*,mitochondrion,viable,0.062831,0,2488,0.234882,0,1278,0.384534,0,744,-0.307257,0,3071
YBR131W,chr00_16a,CCZ1,protein-vacuolar targeting*,guanyl-nucleotide exchange factor activity,membrane*,viable,0.062694,0,2489,-0.070068,0,3067,-0.207755,0,2705,-0.7796,0,4627
YMR087W,chr00_6,YMR087W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.062574,0,2490,0.22226,0,1354,-0.001215,0,2034,-0.278852,0,2963
YOR179C,chr15_2,SYC1,"transcription termination from Pol II promoter, poly(A)-independent*",molecular_function unknown,nucleus*,viable,0.062512,0,2491,-0.411056,0,4082,-0.195171,0,2655,-0.164295,0,2535
YLR281C,chr12_4,YLR281C,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.06245,0,2492,0.008932,0,2574,-0.216284,0,2747,0.063441,0,1334
YBR138C,chr2_3,YBR138C,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.062147,0,2493,0.720213,0,244,-0.124107,0,2392,0.121615,0,1200
YOR163W,chr15_2,DDP1,diadenosine polyphosphate metabolism,diphosphoinositol-polyphosphate diphosphatase activity,cytoplasm*,viable,0.062013,0,2494,0.098396,0,2040,-0.58515,0,4359,-0.379663,0,3372
YAL011W,chr1_1,SWC3,chromatin remodeling*,molecular_function unknown,nucleus*,viable,0.061564,0,2495,0.047729,0,2357,2.78242,1,38,1.10729,0,251
YOL028C,chr15_5,YAP7,positive regulation of transcription from Pol II promoter,RNA polymerase II transcription factor activity,nucleus,viable,0.061439,0,2496,0.268872,0,1124,-0.071394,0,2230,-0.37635,0,3357
YCR019W,chr3_1,MAK32,host-pathogen interaction,molecular_function unknown,cellular_component unknown,viable,0.061425,0,2497,0.1548,0,1716,-0.286768,0,3038,-0.364163,0,3304
YGR155W,chr00_11,CYS4,cysteine biosynthesis,cystathionine beta-synthase activity,cytoplasm*,viable,0.061338,0,2498,0.318317,0,922,1.44331,0,150,0.904266,0,345
YFR032C,chr00_2,YFR032C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.060937,0,2499,0.273724,0,1097,-0.641708,0,4488,-0.246341,0,2832
YGL213C,chr7_3,SKI8,protein complex assembly*,translation repressor activity,cytoplasm*,viable,0.060711,0,2500,-0.389534,0,4036,-0.763033,0,4620,-0.627837,0,4353
YBR093C,chr2_3,PHO5,phosphate metabolism*,acid phosphatase activity,cell wall (sensu Fungi)*,viable,0.060631,0,2501,-0.310569,0,3873,-0.341968,0,3290,-0.407828,0,3479
YLR063W,chr12_2,YLR063W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.06054,0,2502,0.192784,0,1509,0.280311,0,894,-0.020064,0,2093
YJL210W,chr10_1,PEX2,peroxisome organization and biogenesis,protein binding,peroxisomal membrane,viable,0.060537,0,2503,-0.250232,0,3725,-0.022944,0,2089,-0.0284,0,2111
YCR099C,chr00_2,YCR099C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.060433,0,2504,0.221486,0,1361,-0.486533,0,3981,-0.462898,0,3712
YMR136W,chr00_12,GAT2,transcription,transcription factor activity,nucleus,viable,0.059779,0,2505,0.345889,0,838,0.063628,0,1303,-0.364619,0,3306
YMR135W-A,chr00_11,YMR135W-A,NA,NA,NA,viable,0.059699,0,2506,0.077562,0,2162,-0.527553,0,4158,-0.73801,0,4588
YOR068C,chr15_1,VAM10,"vacuole fusion, non-autophagic",molecular_function unknown,vacuolar membrane,viable,0.059697,0,2507,0.494659,0,486,-0.459899,0,3841,-0.694122,0,4519
YER098W,chr00_8,UBP9,protein deubiquitination,ubiquitin-specific protease activity,cytoplasm,viable,0.059098,0,2508,0.236363,0,1267,-0.44874000000000003,0,3784,0.087804,0,1270
YLR318W,chr12_4,EST2,telomerase-dependent telomere maintenance,telomeric template RNA reverse transcriptase activity,nucleus*,viable,0.059061,0,2509,0.574739,0,372,0.201482,0,1023,0.813233,0,399
YML005W,chr13_2,TRM12,biological_process unknown,S-adenosylmethionine-dependent methyltransferase activity,cytoplasm,viable,0.058668,0,2510,-0.339083,0,3936,-0.46613,0,3873,-0.647058,0,4396
YJR080C,chr00_12,FMP26,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.058361,0,2511,0.121742,0,1905,-0.079628,0,2255,-0.049695,0,2167
YLR261C,chr12_4,VPS63,NA,NA,NA,viable,0.058305,0,2512,0.17769,0,1594,0,0,1843,0,0,1843
YJL053W,chr10_2,PEP8,protein-Golgi retention*,molecular_function unknown,endosome*,viable,0.058216,0,2513,0.459611,0,551,-0.682876,0,4549,-0.685411,0,4494
YJL178C,chr10_1,ATG27,vesicle organization and biogenesis,protein kinase regulator activity,membrane,viable,0.05813,0,2514,0.235732,0,1272,-0.551494,0,4249,-0.404499,0,3468
YDR116C,chr4_4,MRPL1,protein biosynthesis*,structural constituent of ribosome,mitochondrial large ribosomal subunit,viable,0.057941,0,2515,-0.25359,0,3735,0.570948,0,549,-1.70845,0,4758
YBR014C,chr2_2,YBR014C,biological_process unknown,molecular_function unknown,vacuole (sensu Fungi)*,viable,0.057933,0,2516,-0.327592,0,3914,0.862563,0,349,0.105387,0,1236
YBR094W,chr2_3,YBR094W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.057887,0,2517,-0.339206,0,3937,-0.449996,0,3791,-0.195496,0,2631
YJR056C,chr00_13,YJR056C,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.057824,0,2518,-0.107706,0,3260,-0.791739,0,4648,-0.514323,0,3922
YJL065C,chr10_2,DLS1,chromatin silencing at telomere,molecular_function unknown,nucleus*,viable,0.057811,0,2519,-0.221066,0,3645,-0.146242,0,2468,0.035926,0,1400
YMR164C,chr13_4,MSS11,positive regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nucleus,viable,0.057561,0,2520,0.49434,0,487,-0.276971,0,2998,-0.312663,0,3094
YLR077W,chr12_2,FMP25,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.057419,0,2521,-0.048389,0,2966,-0.2074,0,2702,-0.341457,0,3199
YLL018C-A,chr00_4,COX19,cytochrome c oxidase biogenesis*,metal ion transporter activity,cytosol*,viable,0.056457,0,2522,-0.508685,0,4216,1.05067,0,268,0.964134,0,316
YJR005W,chr00_13,APL1,vesicle-mediated transport,molecular_function unknown,AP-2 adaptor complex,viable,0.056241,0,2523,-0.154193,0,3434,-0.292188,0,3059,-0.034386,0,2122
YGR124W,chr7_5,ASN2,asparagine biosynthesis,asparagine synthase (glutamine-hydrolyzing) activity,cytoplasm,viable,0.05606,0,2524,0.087735,0,2100,0.479742,0,632,1.36769,0,159
YOR082C,chr15_1,YOR082C,NA,NA,NA,viable,0.055984,0,2525,0.398171,0,686,-0.268994,0,2973,-0.662379,0,4450
YAL034C,chr1_1,FUN19,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.055935,0,2526,0.9251,0,156,0.202776,0,1022,0.064815,0,1332
YDR259C,chr4_6,YAP6,positive regulation of transcription from Pol II promoter,RNA polymerase II transcription factor activity,nucleus,viable,0.055884,0,2527,0.351873,0,823,-1.01014,0,4719,-0.258369,0,2873
YLR389C,chr12_5,STE23,proteolysis and peptidolysis*,metallopeptidase activity,integral to membrane,viable,0.055199,0,2528,0.062699,0,2267,-0.038195,0,2131,-0.20102,0,2654
YHR124W,chr8_2,NDT80,meiosis*,transcription factor activity,nuclear chromosome,viable,0.055193,0,2529,0.00991,0,2566,-0.462283,0,3854,-0.523568,0,3960
YKL156W,chr11_2,RPS27A,protein biosynthesis,structural constituent of ribosome,cytoplasm*,viable,0.055057,0,2530,-0.257962,0,3750,-0.298948,0,3091,-0.160161,0,2522
YGR067C,chr7_4,YGR067C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.05486,0,2531,0.041647000000000003,0,2405,-0.157145,0,2504,0.147498,0,1152
YMR247C,chr13_5,YMR247C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.054687,0,2532,0.290882,0,1037,-0.760926,0,4617,-0.641381,0,4383
YGR108W,chr7_4,CLB1,G2/M transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity,nucleus,viable,0.054175,0,2533,-0.022355,0,2827,-0.603468,0,4399,-0.405742,0,3472
YIL135C,chr9_2,VHS2,G1/S transition of mitotic cell cycle,molecular_function unknown,cytoplasm,viable,0.053723,0,2534,-0.252115,0,3729,0.297714,0,873,-0.018763,0,2091
YNL034W,chr14_4,YNL034W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.053623,0,2535,0.106387,0,1994,-0.4264,0,3699,-0.078593,0,2250
YDR451C,chr4_8,YHP1,negative regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nuclear chromosome,viable,0.05331,0,2536,-0.069089,0,3063,-0.208651,0,2708,1.03841,0,279
YLR262C,chr12_4,YPT6,intracellular protein transport*,GTPase activity,Golgi apparatus,viable,0.053104,0,2537,0.047775,0,2356,0,0,1844,0,0,1844
YGR226C,chr00_2,YGR226C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.052975,0,2538,0.117961,0,1930,-0.341178,0,3282,0.193484,0,1071
YOR053W,chr15_1,YOR053W,NA,NA,NA,viable,0.052889,0,2539,-0.199147,0,3584,-0.459698,0,3839,-0.154606,0,2506
YGL168W,chr7_2,HUR1,DNA replication,molecular_function unknown,cellular_component unknown,viable,0.052881,0,2540,-0.302211,0,3857,0,0,1668,0,0,1668
YKL123W,chr11_2,YKL123W,NA,NA,NA,viable,0.05266,0,2541,-0.094025,0,3197,-0.307682,0,3136,-0.023907,0,2100
YOR286W,chr15_3,FMP31,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.052563,0,2542,0.104391,0,2006,-0.556309,0,4262,0.266186,0,942
YBR065C,chr2_2,ECM2,cell wall organization and biogenesis*,molecular_function unknown,nucleus,viable,0.052508,0,2543,0.124841,0,1892,-0.135687,0,2432,0.147315,0,1154
YOL137W,chr00_6,BSC6,biological_process unknown,molecular_function unknown,clathrin-coated vesicle*,viable,0.052503,0,2544,0.308401,0,963,-0.323667,0,3217,-0.24428,0,2822
YDL187C,chr4_2,YDL187C,NA,NA,NA,viable,0.052457,0,2545,-0.210164,0,3614,-0.65219800000000006,0,4503,-0.371558,0,3338
YGL039W,chr7_1,YGL039W,biological_process unknown,oxidoreductase activity*,cytoplasm,viable,0.052366,0,2546,-0.178257,0,3499,-0.49212,0,4015,-0.656665,0,4435
YBR082C,chr2_3,UBC4,response to stress*,ubiquitin conjugating enzyme activity,proteasome complex (sensu Eukarya),viable,0.052026,0,2547,-0.11675,0,3298,0,0,1492,0,0,1492
YBR173C,chr2_4,UMP1,protein catabolism,unfolded protein binding*,proteasome core complex (sensu Eukarya),viable,0.05147,0,2548,-0.073662,0,3092,1.73105,0,102,0.892098,0,352
YPL216W,chr16_1,YPL216W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.051004,0,2549,-0.055137,0,2995,0.149774,0,1123,0.032169,0,1408
YDR094W,chr4_4,YDR094W,NA,NA,NA,viable,0.050723,0,2550,-0.061161,0,3025,-0.362174,0,3408,-0.081797,0,2260
YPR179C,chr16_5,HDA3,"regulation of transcription, DNA-dependent*",histone deacetylase activity,nucleus*,viable,0.050196,0,2551,-0.058725,0,3012,-0.346111,0,3311,-0.082435,0,2262
YNL193W,chr14_2,YNL193W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.050166,0,2552,-0.185721,0,3533,-0.231043,0,2804,-0.069585,0,2218
